"o3","no2"
5.42708333333333,18.4375
9.10416666666667,23.3333333333333
3.94791666666667,18.125
7.39583333333333,27.6041666666667
5.78125,28.125
4.06944444444444,20.625
6.40178571428571,31.0416666666667
5.28125,33.5416666666667
4.03125,23.5416666666667
6.79166666666667,18.8541666666667
7.17380952380952,40.3125
2.33333333333333,31.0416666666667
5.33333333333333,35.7291666666667
2.44444444444444,35
4.69791666666667,31.4583333333333
7,26.4583333333333
8.32291666666667,26.875
4.89583333333333,44.2708333333333
4.8125,35.2083333333333
6.60119047619048,40.7291666666667
3.625,31.1458333333333
3.29166666666667,31.3541666666667
3.71875,36.5625
3.14930555555556,37.3958333333333
7.13888888888889,28.125
7.77916666666667,21.25
5.76041666666667,26.1458333333333
8.36458333333333,25.4166666666667
7.4375,26.3541666666667
7.86111111111111,34.1666666666667
7.48611111111111,23.9583333333333
9.59375,20.7624787677115
9.07802441995459,20.9114583333333
11.2604166666667,21.3541666666667
8.97916666666667,26.5625
8.625,28.0208333333333
4.5390625,26.09375
9.1875,18.4375
12.2291666666667,21.7708333333333
10.75,27.9166666666667
6.70833333333333,19.375
13.46875,21.1458333333333
13.2604166666667,34.7916666666667
5.97916666666667,42.5
5.52083333333333,48.9583333333333
3.65277777777778,37.1875
5.01041666666667,26.3541666666667
9.33333333333333,27.0833333333333
2.26190476190476,42.1875
1.04166666666667,20.4166666666667
3.43215045188729,17.5
7.25,17.2916666666667
8.875,23.1944444444444
8.42592592592593,20.9722222222222
1.99603174603175,16.3888888888889
8.21875,17.6041666666667
8.33333333333333,35.6075338581883
5.00547672272432,18.9930555555556
5.67708333333333,20.9722222222222
13.2395833333333,19.1666666666667
12.6458333333333,23.0555555555556
11.3645833333333,27.6041666666667
3.57291666666667,28.4375
5.82291666666667,21.875
9.92233531887882,17.3958333333333
8.90625,21.6666666666667
11.1458333333333,25.4166666666667
8.20833333333333,26.9791666666667
7.5625,23.2291666666667
10.0833333333333,24.1666666666667
8.86458333333333,25.6944444444444
10.75,17.922149122807
17.0625,24.1666666666667
14.625,19.7222222222222
16.5729166666667,20.1388888888889
13.3055555555556,23.8541666666667
7.26388888888889,23.8333333333333
10.0972222222222,21.3888888888889
6.99031432748538,21.3541666666667
8.51388888888889,23.75
9.73245614035088,31.5625
7.62916666666667,30.8333333333333
9.55555555555556,28.5416666666667
14.2755847953216,40
9.80555555555556,27.9166666666667
15.0016666666667,33.9583333333333
14.6979166666667,24.6875
33.875,30.3125
21.2333333333333,31.6666666666667
13.0208056481999,24.4791666666667
12.2634836402309,19.8958333333333
16.7046852118034,35
22.6228026249395,19.698274132835
28.6833333333333,15.3447053870044
17.9416666666667,20.3125
18.6568069855154,36.875
14.7291666666667,35.3125
26.5333333333333,24.2708333333333
20.775,37.0148690273527
14.525,31.25
15.875,16.6666666666667
20.1083333333333,24.5833333333333
15.6916666666667,19.0625
13.0083333333333,21.1458333333333
16.8666666666667,29.1666666666667
16.45,32.2222222222222
14.4333333333333,20.2083333333333
18.275,26.25
11.9666666666667,15.4166666666667
17.8666666666667,29.5833333333333
12.025,26.7708333333333
16.6416666666667,24.0625
15.6812865497076,21.875
7.53402777777778,15.7291666666667
13.8833333333333,23.0208333333333
13.9940476190476,36.0416666666667
16.09375,30
19.3166666666667,27.3958333333333
13.1166666666667,30.8333333333333
10.7583333333333,23.4375
14.1916666666667,23.5416666666667
18.425,29.0625
17.6083333333333,44.375
16.9938095238095,58.75
11.9027777777778,18.125
16.3166666666667,34.8958333333333
14.3223684210526,42.9166666666667
19.3888888888889,45
15.5630952380952,35.1041666666667
13.1666666666667,20.8333333333333
7.125,21.875
11.3083333333333,20.4166666666667
17.8833333333333,29.5833333333333
11.0333333333333,28.75
7.6,18.6458333333333
17.6666666666667,18.2291666666667
27.1083333333333,24.5833333333333
24.9583333333333,35.8333333333333
17.7833333333333,41.6666666666667
17.4916666666667,49.6875
16.5916666666667,50.8333333333333
28.9916666666667,55.3125
37.0083333333333,55.0924403507755
36.6583333333333,45.8069931219275
17.0719003527593,34.8611111111111
20.8645833333333,35.2083333333333
8.55,33.9583333333333
7.4,40.8333333333333
22.6,25.625
17.025,17.8125
14.3583333333333,23.6458333333333
17.9166666666667,30.8333333333333
28.1583333333333,38.473731884058
7.99094202898551,29.4444444444444
22.96875,36.9791666666667
31.675,19.0625
26.725,17.3611111111111
21.9166666666667,31.6666666666667
23.4895833333333,21.5625
18.5166666666667,33.2291666666667
6.02777777777778,26.7708333333333
14.21875,48.6458333333333
1.375,30.8333333333333
24.3888888888889,32.7083333333333
18.8791666666667,33.4166666666667
24.2835953919694,30.9791666666667
27.4264891363642,24.7916666666667
14.9666666666667,41.4583333333333
30.1666666666667,51.5625
14.8083333333333,25.8333333333333
14.85,27.8125
27.425,28.4375
19.85,22.9166666666667
14.2892857142857,33.5416666666667
13.34375,31.7708333333333
17.6333333333333,19.7916666666667
13.25,26.0833333333333
17.3511904761905,30.5208333333333
33.5416666666667,31.5625
52.0520833333333,43.0833333333333
18.3666666666667,15.3125
32.7166666666667,19.1388888888889
24.75,22.6666666666667
34.7166666666667,29.1666666666667
31.2833333333333,33.5833333333333
32.9666666666667,32.25
38.475,24.0833333333333
20.2666666666667,30.3333333333333
39.225,21.2203243686583
31.7592147339067,26.0325844110735
17.2016597961299,27.6578038541297
27.5989900708146,30.75
46.0972222222222,26.75
37.675,15.1666666666667
14.6333333333333,18.75
18.6,29.0833333333333
21.8484848484848,32.1666666666667
31.5104166666667,26.5
46.0333333333333,26.3333333333333
53.2604166666667,42.5
26.1944444444444,22.75
13.8418560606061,19.4166666666667
15.8416666666667,29.9166666666667
16.6666666666667,31.1666666666667
20.1770833333333,31.3333333333333
35.025,25.0833333333333
31.975,20.9166666666667
17.1916666666667,17.5
10.75,18.1666666666667
11.125,26.75
17.8321428571429,38.5
15.9375,34.8333333333333
35.3645833333333,22.3333333333333
52.2083333333333,25.6666666666667
42.4916666666667,41.75
27.5733333333333,19.0625
16.4305555555556,37.6041666666667
21.3166666666667,29.1666666666667
24.9166666666667,21.6666666666667
26.0520833333333,26.1458333333333
22,35.625
20.8125,34.375
13.01875,33.2291666666667
14.0833333333333,35
27.2604166666667,18.125
14.8958333333333,29.375
15.96875,21.0416666666667
12.21875,21.3541666666667
8.25,30.1041666666667
14.0555555555556,33.4375
13.875,32.5
18.3777777777778,33.125
17.8541666666667,31.7708333333333
30.0416666666667,37.3958333333333
42.0833333333333,23.8541666666667
23.1041666666667,25.5208333333333
17.1979166666667,33.75
21.8645833333333,45.9375
8.8125,29.6555999742806
23.2291666666667,22.9166666666667
37.2604166666667,21.9791666666667
30.59375,28.4375
21.5416666666667,26.50194437886
21.0520833333333,27.1875
17.0243055555556,16.3690476190476
6.69444444444444,31.25
7.25,24.375
5.05555555555556,20.2083333333333
7.83016304347826,19.2708333333333
21.0520833333333,24.4791666666667
9.1875,17.2916666666667
7.83333333333333,24.375
11.6156798245614,24.4791666666667
9.95833333333333,31.25
13.6398026315789,33.0208333333333
21.0109649122807,36.875
11.25,24.1666666666667
6.97222222222222,19.0625
9.8125,16.7708333333333
2.39583333333333,27.2916666666667
5.86111111111111,25.2899660479897
4.68055555555556,21.9267334533487
4.02083333333333,34.7916666666667
2.82291666666667,21.1458333333333
7.47203947368421,17.0833333333333
5.8125,27.2916666666667
7.875,40.5
4.81944444444444,29.75
12.8416666666667,14.6666666666667
27.4666666666667,17.1666666666667
11.45,23
6.4202380952381,28.25
3.58333333333333,20.75
6.27083333333333,13.5
3.84166666666667,14.8333333333333
6.9,23.6666666666667
7.48214285714286,33
1.09722222222222,20.9166666666667
6.90277777777778,13.2291666666667
6.60416666666667,16.875
4.82986111111111,26.25
4.05092592592593,23
8.14583333333333,24
11.7008406432749,27.25
12.8564814814815,37.75
10.0555555555556,52.75
9.06944444444444,52
1.43055555555556,17.4166666666667
6.45618427589313,23.4166666666667
7.375,14.4166666666667
12.425,17.8333333333333
12.4333333333333,24.3333333333333
11.725,22.9166666666667
5.54166666666667,25.4166666666667
3.04166666666667,26.3333333333333
6.35461956521739,20.4166666666667
9.46666666666667,24.5833333333333
13.4154970760234,31.1666666666667
3.02777777777778,18.25
2.36111111111111,21.9166666666667
7.975,21.1666666666667
5.26666666666667,28.9166666666667
6.11666666666667,35.5
7.12956871345029,45.5
2.97916666666667,35.9166666666667
5.83388157894737,38.0833333333333
7.26864035087719,57.1666666666667
4.04166666666667,54.5344665381757
1.51136358125852,17.6209784199928
5.9814737445396,16.4166666666667
12.9166666666667,26.75
10.4791666666667,19.75
10.2506944444444,30.75
6.30921052631579,23.75
5.96875,30.6666666666667
8.82763157894737,54.4166666666667
2.43433840168077,71.25
2.64583333333333,38.5833333333333
2.58333333333333,30.25
4.19791666666667,23.1666666666667
5.54166666666667,16.8333333333333
4.75,22.6666666666667
1.125,19.75
3.44791666666667,16.9166666666667
8.17575757575758,14.6875
11.375,25.4166666666667
4.95833333333333,37.9166666666667
3.20833333333333,40.8333333333333
3,21.5625
7.68055555555556,19.75
5.57886904761905,17.6666666666667
11.55,20.0833333333333
10.3001893939394,31.6666666666667
4.79166666666667,21.25
7.61458333333333,18.8333333333333
2.70833333333333,25.1666666666667
1.20833333333333,30.75
1.16666666666667,18.0833333333333
3.36111111111111,20.5208333333333
9.19799498746867,31.1458333333333
7.08955910837767,22
3.77083333333333,16.4583333333333
9.79444444444437,15.2083333333333
12.2633065215723,19.1666666666667
8.14166666666667,24.4791666666667
5.91666666666667,23.0208333333333
5.31944444444444,28.9583333333333
3,33.0833333333333
1.58333333333333,23.3333333333333
6.58333333333333,25.6666666666667
5.46666666666667,28.25
4.48333333333333,22.6666666666667
6.95,23.5833333333333
7.55,29.3333333333333
4.4375,29.75
0.833333333333333,25.25
2.475,24.3333333333333
5.79166666666667,30
3.80947368421053,33.8333333333333
2.47916666666667,24.9166666666667
4.15833333333333,30.8333333333333
4.74166666666667,27.6666666666667
5.63333333333333,32.75
3.97767857144882,31.0833333333333
4.26964285715963,16.8333333333333
8.91666666666667,17.5
12.03125,22.6041666666667
7.27777777777778,17.9166666666667
7.21969696969697,19.9166666666667
10.7833333333333,28.5
3.91666666666667,18.9166666666667
13.1833333333333,18.8541666666667
12.5416666666667,14.2708333333333
13.85,13.6111111111111
15.3166666666667,18.75
10.1833333333333,41.0833333333333
1.79166666666667,29.75
5.56875,35.1666666666667
3.20833333333333,38.4166666666667
4.1875,23.4375
10.8166666666667,16.7708333333333
16.9,31.2500000198682
4.67361111111111,37.3333333333333
4.5,30.8333333333333
6.94444444444444,27.5833333333333
9.57291666666667,25.5833333333333
9.23958333333333,16.5
15.4479166666667,13.5
15.90625,27.4444327234111
6.98278985507246,33.9166666666667
7.15208333333333,37.3333333333333
7.27777777777778,27.1666666666667
9.52083333333333,29.1666666666667
12.9416666666667,31.4166666666667
6.73958333333333,19.3333333333333
15.0666666666667,28.4166666666667
13.5227272727273,48.875
4.95833333333333,42.0833333333333
3.93055555555556,27.5
8.95833333333333,37.3333333333333
3.20833333333333,24.3333333333333
13.6833333333333,22.1666666666667
19.85,35.0833333333333
15.3583333333333,37.75
11.8020833333333,24.5833333333333
16.5729166666667,38.8333333333333
9.3125,45.6387200846511
6.80208333333333,35.3333333333333
18.2708333333333,39.75
23.2395833333333,38.5416666666667
10.1770833333333,33.4375
21.125,18.6458333333333
21.2604166666667,25.3125
15.3020833333333,29
5.3125,25.9166666666667
15.03125,23.4166666666667
16.90625,28.5833333333333
10.8125,25.25
13.8333333333333,21.0833333333333
16.1458333333333,24.75
16.2083333333333,35.1666666666667
15.3055555555556,36.75
13.7319078947368,23.1666666666667
18.3888888888889,25.3333333333333
18.1354166666667,21.9166666666667
16.4666666666667,28.8333333333333
13.4638888888889,29.5166666666667
10.0938888888889,29.8958333333333
17.1458333333333,45
13.2166666666667,31.75
21.7333333333333,26.1666666666667
16.775,33.75
13.7583333333333,48.4166666666667
10.5333333333333,40.5833333333333
11.2333333333333,45
10.5625,21.9166666666667
22.3666666666667,18.8333333333333
25.5333333333333,24.4166666666667
17.775,16.75
21.2916666666667,34
7.89078947368421,46.3333333333333
2.55555555555556,34.5833333333333
10.1611111111111,22.5
14.59375,21.25
15,24
19.725,30
15.6666666666667,41.0833333333333
10.4875,42.3333333333333
7.41666666666667,18.125
18.6166666666667,16.3888888888889
24.7166666666667,20
23.6416666666667,32.7083333333333
18.9065789473684,40.4166666666667
12.1458333333333,21
23.45,13.6666666666667
18.9833333333333,19
17.4166666666667,14.7916666666667
19.9833333333333,11.25
23.7333333333333,16.6392543859649
22.7083333333333,12.3958333333333
21.0416666666667,13.0208333333333
21.9083333333333,18.9583333333333
18.9565779831145,21.1666666666667
19.9275843931002,16.3541666666667
37.2583333333333,18.2087963272533
24.175,23.5416666666667
23.3166666666667,22.7083333333333
17.4375,29
17.1623684210526,39.9166666666667
19.5138888888889,51.5833333333333
22.7083333333333,21.1388888888889
21.8083333333333,16.5625
25.95,36.5
14.3666666666667,35.1061491028841
8.2,16.0833333333333
25.725,19.5
19.6083333333333,23.25
25.5,23.1666666666667
38.9583333333333,32.1666666666667
40.9,63.75
7.525,18.5
22.0083333333333,23.4166666666667
20.825,28.9166666666667
22.9833333333333,36.75
22.5,32.1666666666667
25.25,20.3125
30.4166666666667,32.8333333333333
22.1354166666667,36.5
18.775,36.1458333333333
26.1979166666667,47.75
24.875,50.3333333333333
19.0625,24.1666666666667
16.1083333333333,16.4583333333333
16.7666666666667,23.625
10.1916666666667,29.5
16.9560606060606,52.1666666666667
11.6666666666667,35.1666666666667
17.1916666666667,30.3333333333333
15.4666666666667,38.1666666666667
15.6458333333333,34.6666666666667
24.4305555555556,23.3333333333333
18.2,33.8333333333333
21.5555920767705,38.5
20.05,22.0833333333333
19.925,19.1666666666667
21.3,15.0131578947368
26.5416666666667,17.7083333333333
21.8916666666667,22.7083333333333
13.6166666666667,32.5833333333333
11.2238095238095,41.8333333333333
19.2395833333333,31.6666666666667
29.525,33.1666666666667
16.45,28.1666666666667
20.875,33.8333333333333
16.6354166666667,32.75
25.96875,30.1666666666667
12.9666666666667,24.75
13.25,23.9722222222238
12.4895833333333,20.5833333333333
19.1979166666667,21.7121212121212
17.78125,17.3958333333333
21.1145833333333,25.5
17.6875,31.8333333333333
16.0104166666667,26.5
24.90625,34.5
13.4833333333333,28.9166666666667
15.7166666666667,30
20.2166666666667,24.5833333333333
18.4166666666667,27.7083333333333
13.925,36.0416666666667
16.3833333333333,18.4375
20.8916666666667,19.5833333333333
17.225,36.3541666666667
23.9333333333333,23.0208333333333
25.1416666666667,14.7916666666667
16.8666666666667,19.1666666666667
19.35,28.4166666666667
9.79166666666667,14.5
10.925,22
17.6354166666667,33.1666666666667
16.21875,13.75
12.4083333333333,16.75
17.625,37.6041666666667
17.7166666666667,34.0625
16.2395833333333,17.7083333333333
11.9479166666667,20.2777777777778
12.825,28.4722222222222
20.8,23.8541666666667
